English,Hindi
counties,काउंटियों
perm,पर्म
shuffling,पुथल
half-brother,सौतेला भाई
vanya,वन्या
shifu,शिफू
takumi,ताकुमी
touya,तौया
there`s,वहाँ है
bengali,बंगाली
weakling,कमज़ोर दिल का आदमी
grampa,दादा
humid,नमी
infants,शिशुओं
barman,बर्मन
straits,जलडमरूमध्य
annulment,लोप
qiu,किउ
mapping,मानचित्रण
spotting,खोलना
eyed,आंखवाले
zing,जिंग
decode,गूढ़वाचन करना
umbilical,नाल
blackboard,ब्लैकबोर्ड
probes,जांच
cutlery,कटलरी
booger,बूगर
hasta,हस्त
shoelaces,जूते के फीते
redeemed,छुड़ाया
morgana,मोर्गन
bleedin,खून बह रहा है
hue,रंग
exterminator,तबाह करनेवाला
aristocracy,शिष्टजन
1ch00ffffff,1ch00ffffff
wavelength,तरंग दैर्ध्य
merry-go-round,हिंडोला
replacements,प्रतिस्थापन
bongo,बोंगो
fittest,योग्यतम
glum,उदास
farnon,फ़ार्नोन
deanna,दीना
gloucester,GLOUCESTER
drive-by,द्वारा ले जाया गया
perilous,जोखिम
snooze,दिन में झपकी लेना
commandos,कमांडो
wasps,ततैया
abhi,अभि
jimmie,जिमी
won`t,जीत `t
full-scale,पूर्ण स्केल
processor,प्रोसेसर
pendleton,पेंडलेटन
ascertain,पता लगाना
deadliest,घातक
reproductive,प्रजनन
prophecies,भविष्यवाणी
instinctively,सहज
commencing,शुरू
mined,खनन
reassured,भरोसा दिलाया
dislikes,नापसंद के
jokers,जोकर
phasers,फेज़र्स
strayed,भटका हुआ
feller,पेड़ काटने वाला
templeton,टेंपलटन
all-powerful,सर्वशक्तिमान
curling,कर्लिंग
winthrop,WINTHROP
monoxide,मोनोआक्साइड
xin,xin
rankin,रैनकिन
rolls-royce,रोल्स-रॉयस
armada,बेड़े
overreact,अत्यधिक प्रतिक्रिया
twirl,घुमाव
kits,किट
reilly,रेली
hanks,हैंक्स
fountains,फव्वारे
sawdust,चूरा
firefly,जुगनू
interstellar,तारे के बीच का
subdue,वश में
massimo,मास्सिमो
fabrics,कपड़े
simulate,अनुकरण
libraries,पुस्तकालय
arbitrary,मनमाना
petrov,पेत्रोव
ratchet,शाफ़्ट
vascular,संवहनी
poldark,पोल्डार्क
coos,कूस
baby-sitter,बच्चे-सिटर
handmade,हस्तनिर्मित
ahjumma,अहजुम्मा
bluebell,घंटिका
five-star,पाँच सितारा
ultraviolet,पराबैंगनी
obesity,मोटापा
sensations,sensations
deem,समझना
higgs,हिग्स
charissa,चारिसा
reigns,राज करता है
dub,प्रहार
bounces,बाउंस
nicaragua,निकारागुआ
dawes,dawes
self-confidence,खुद पे भरोसा
shrek,श्रेक
basque,बस्क
burrow,मांद
pawned,गिरवी रख दिया
boardwalk,बोर्डवॉक
poultry,मुर्गीपालन
scrapbook,स्क्रैपबुक
fantasize,fantasize
watered,पानी पिलाया
offending,हमलावर
roswell,रोसवेल
magdalena,मागदालेना
overkill,अति करना
sodom,सदोम
antelope,मृग
discord,कलह
henna,मेंहदी
pigsty,गंदा स्थान
aristocrats,अभिजात
downstream,डाउनस्ट्रीम
undies,undies
dashboard,डैशबोर्ड
chez,चेज़
inconsistent,असंगत
wickedness,दुष्टता
bok,बॉक
disagreed,असहमत
susannah,सुज़ाना
piccolo,छोटा पियानो
vila,विला
soto,ऐसा करने के लिए
would-be,होगा
pauper,कंगाल
oxide,ऑक्साइड
cauliflower,फूलगोभी
roxton,रॉक्सटन
fiddler,सारंगी बजानेवाला
ivo,इवो
matteo,माटेओ
right-wing,दांया विंग
nitro,नाइट्रो
guacamole,गुआकामोल
branson,ब्रैनसन
cosette,कोसेट
pawns,प्यादे
cardinals,कार्डिनल्स
tailed,पूंछ
verde,वर्डे
vd,वीडी
rikers,रिकर्स
fiji,फ़िजी
extinguished,बुझा
enquire,एंक्वाइयर
prude,कपटी
lik,लिक
boundless,असीम
climbers,पर्वतारोहियों
s-his-name,s-उसका-नाम
romantically,प्यार से
hefner,हेफनर
strands,किस्में
arrivals,आगमन
hula,हुला
combed,कंघी
sou,sou
corresponding,संगत
kindred,आत्मीय
repel,पीछे हटाना
pil,जनहित याचिका
worst-case,सबसे खराब मामला
genoa,जेनोआ
durham,डरहम
squish,तोड़ो
shopkeeper,दुकानदार
grownups,वयस्क
nik,निक
showroom,शोरूम
warts,मौसा
overdoing,अति
laxmi,लक्ष्मी
laundromat,धोने का मशीन
small-town,छोटा शहर
humanoid,मानव सदृश
dreadfully,भयानक रूप से
cheery,प्रसन्न
shards,टुकड़े
shenanigans,धोखाधड़ी
std,कक्षा
rhythmically,ताल
françoise,फ्रेंकोइस
ronaldo,रोनाल्डो
hbo,एचबीओ
atticus,एटिकस
bligh,अभिशाप
masons,राजमिस्त्री
encourages,को प्रोत्साहित करती है
barrage,आड़
blockhead,मूर्ख
sealing,मुद्रण
i.a.,आई.ए.
annihilated,सत्यानाश
glover,दस्ताने करनेवाला
harvested,काटा
trisha,ट्रिशा
overloaded,अतिभारित
narc,नार्क
tulsa,तुलसा
persia,फारस
spills,फैल
there.,वहाँ।
timo,टीमो
taxpayer,करदाता
ser,एसईआर
menacing,खतरनाक
clippers,कतरनी
flirted,छेड़खानी की
spiderman,स्पाइडर मैन
foreboding,भविष्य-ज्ञान
exhilarating,प्राणपोषक
understudy,पार्ट अदा करना
cv,सीवी
maman,मामन
castile,कैसिल
tact,चातुर्य
schematics,schematics
roseanne,Roseanne
smarts,स्मार्ट
provision,प्रावधान
mccartney,मेकार्टनी
manga,मंगा
housed,रखे
doghouse,कुत्ता-घर
césar,Cesar
milhouse,मिलहाउस
anchovies,anchovies
ny,न्यूयॉर्क
fab,फैब
warbling,युद्ध करना
ofcourse,बिल्कुल
huntington,हटिंगटन
ghouls,ghouls
applicants,आवेदक
tigger,बाघ
stringer,स्टाफ़ के अतिरिक्त नामानिगार
critters,जीव-जन्तु
topher,टॉपर
yemen,यमन
vantage,सहूलियत
canadians,कनाडाई
abandonment,संन्यास
theology,धर्मशास्र
commemorate,मनाना
compressions,संपीड़न
nerdy,बेवकूफ
aegisshi,एगेशीशी
raleigh,RALEIGH
frenchmen,फ्रांसीसियों
ld,एलडी
nourishment,पोषण
sender,प्रेषक
nursed,पाले
three-day,तीन दिवसीय
gulls,गुल
argentine,अर्जेण्टीनी
oan,ओन
consciously,जान-बूझकर
tenner,टेने
waiver,अधित्याग
magnetism,चुंबकत्व
woodwork,लकड़ी
remission,क्षमा
nils,निल्स
hooligan,बदमाश
dysfunction,रोग
hijacking,अपहरण
dickinson,डिकिंसन
vanquished,पराजित
widen,चौड़ा
mobility,गतिशीलता
rafi,रफी
microphones,माइक्रोफोन
provisional,अनंतिम
hamper,टोकरी
mcallister,मैकएलिस्टर
membrane,झिल्ली
fund-raiser,धन जुटाने हेतु
anarchists,अराजकतावादी
horst,होर्स्ट
hahaha,हाहाहा
lecturer,व्याख्याता
tampon,तंपन
maxi,मैक्सी
sanatorium,सेहतगाह
tangle,उलझन
hearted,दिलदार
gabriella,गैब्रिएला
succumb,मर जाना
scab,पपड़ी
dissatisfied,असंतुष्ट
cali,कैली
butting,बटिंग
lain,लेन
presentable,आकर्षक
prompted,के लिए प्रेरित किया
nietzsche,नीत्शे
tjust,ठीक करो
boating,नौका विहार
eichmann,Eichmann
relates,संबंधित
bashir,बशीर
swedes,स्वीडन
trumps,तुरुप
yuk,युक
hypothermia,हाइपोथर्मिया
sasquatch,Sasquatch
binder,बांधनेवाला
unlocks,अनलॉक
lookie,आकर्षक
potions,पोशन
insure,ठीक कर लेना
bohemian,बोहेनिया
made-up,बना हुआ
ilya,इल्या
skylar,स्काईलार
petrovich,पेत्रोविच
jester,विदूषक
excites,उत्तेजित
uniquely,विशिष्ट
cris,क्रिस
regulate,विनियमित
factions,गुटों
irreplaceable,स्थिर
pied,विचित्र
smithers,लोहार
unofficially,अनाधिकारिक
canterbury,कैंटरबरी
shank,टांग
alpine,अल्पाइन
prowess,कौशल
fernandez,फर्नांडीज
trashy,तुच्छ
blower,धौंकनी
tenderly,नम्रता से
depicted,चित्रित
but-but,किन्तु-परन्तु
carlyle,कार्लाइल
disturbs,परेशान
mussels,सीपियाँ
mali,माली
sigma,सिग्मा
croissant,क्रोइसैन
charades,charades
mince,भरती
kilograms,किलोग्राम
homies,दोस्तों
boasting,गर्व
dined,डिनर किया
xanax,Xanax
high-class,उच्च वर्ग
passageway,दालान
left-hand,बाएं हाथ
ranting,शेखी बघारना
pixie,परी
pharaohs,फैरो
nitrate,नाइट्रेट
hyperspace,हाइपरस्पेस
insurgents,विद्रोहियों
ferengi,फेरेंगी
yiddish,यहूदी
trends,प्रवृत्तियों
elevation,ऊंचाई
figaro,फिगारो
litres,लीटर
pastime,शगल
altering,फेरबदल
fricking,फ्रिकिंग
ussr,सोवियत संघ
brie,ब्री
spec,कल्पना
abolished,समाप्त कर दिया
earthlings,पृथ्वीवासी
evict,बेदख़ल करना
janeiro,जनेरियो
pricey,महँगा
mending,मरम्मत
pesky,परेशान
turbulent,उपद्रवी
attributes,गुण
dο,करो
nessa,नेसा
downey,डाउनी
gerda,जेर्डा
baekje,बैक्जे
albino,सूरजमुखी मनुष्य
activation,सक्रियण
flamingo,मराल
polling,मतदान
eggnog,अंडे का छिलका
lor,लोर
bashing,कोसने
expulsion,निष्कासन
verity,सचाई
granddaddy,granddaddy
dominican,डोमिनिकन
flattened,चपटी
mba,एमबीए
analyse,विश्लेषण करें
untimely,असामयिक
reversal,उलटा
elka,एल्का
kensington,केंसिंग्टन
one,एक
ambiguous,अस्पष्ट
tortures,अत्याचार
glock,Glock
clouded,धूमिल
chakra,चक्र
percival,पर्सिवल
sundae,कुचले हुए फल
housewarming,housewarming
lum,लुम
frylock,फ्रायलॉक
diagnose,का निदान
emblem,प्रतीक
posterity,भावी पीढ़ी
thermos,थरमस
lookit,उसे देखो
perseverance,दृढ़ता
vivien,विविएन
hamid,हमीद
mayfield,मेफील्ड
midge,छोटा कीड़ा
garrity,garrity
okey-dokey,ओके ठीक है
untied,खुला
bulge,उभाड़ना
forsyte,forsyte
sheen,चमक
greased,तेल
self-righteous,आत्मतुष्ट
optic,ऑप्टिक
pasquale,Pasquale
ridin,छुटकारा
low-level,कम स्तर
ridges,लकीरें
twitching,हिल
myron,मायरोन
mariano,मारियानो
exterminated,नष्ट कर दिया
grrr,गरर
crossfire,क्रॉस फायर
topping,टॉपिंग
impudent,दिलेर
bloods,ब्लड
lupe,लुपे
gravely,गंभीरता से
manifestation,अभिव्यक्ति
moat,खाई
prefecture,प्रान्त
esme,एस्मे
kwang,क्वांग
hei,हेई
noticeable,ध्यान देने योग्य
muir,मुइर
mausoleum,समाधि
claudette,क्लॉडेट
consignment,प्रेषण
algorithms,एल्गोरिदम
alrighty,ठीक है
tonsils,टॉन्सिल
wrongful,गलत तरीके से
knackered,बहुत थक
lacy,लैस का
successes,सफलता
daddies,मादक द्रव्य
grilling,ग्रिल
zeppelin,टसेपेल्लिन
lok,लोक
smartass,स्मार्ट गधा
catalyst,उत्प्रेरक
bergen,बर्गन
checkout,चेक आउट
jobless,बेकार
rhea,रिया
dotted,छितराया हुआ
tarot,टैरो
promotions,प्रचार
dangle,लटकते
firecracker,पटाखे
laces,फीते
concessions,रियायतें
aphrodisiac,कामोद्दीपक
expresses,एक्सप्रेस
crowning,ताजपोशी
worships,पूजा
quarrels,झगड़े
launches,शुभारंभ
vicodin,विकोडिन
utensils,बर्तन
walnuts,अखरोट
snare,जाल
croissants,क्रोइसैन्ट्स
neelix,नीलिक्स
parrots,तोते
deficiency,कमी
sores,घावों
destroyers,विध्वंसक
firecrackers,पटाखों
conjecture,अनुमान
airways,एयरवेज
saucy,सजीव
terrors,भय
swindle,ठगी
taffy,टाफ़ी
coerced,मजबूर
pornographic,अश्लील
imaginable,कल्पनीय
digestion,पाचन
what--what,क्या--क्या
aye-aye,हाँ-हाँ
ts,टी
kraang,क्रैंग
craze,उन्माद
watt,वाट
metaphors,रूपकों
ooooh,ओह!
why-,क्यों-
critique,आलोचना
veterinary,पशु चिकित्सा
warships,युद्धपोतों
potts,पॉट्स
presto,हाथ की सफ़ाई
depleted,खाली
shapiro,शापिरो
har,हर
sarcophagus,पत्थर की बनी हुई कब्र
slump,मंदी
hooky,हुकी
improves,बढ़ाता है
ruxin,रक्सिन
workings,कामकाज
thunderstorm,आंधी तूफान
hellish,नारकीय
keegan,कीगन
trickster,चालबाज
probie,प्रोबी
decadent,अवनति का
lordy,प्रभु
henning,हेनिंग
fiddling,निरर्थक
saroyan,सरोयान
armani,अरमानी
gaul,फ्रांसीसी
devise,चिंतन करना
triplets,तीनो
navarro,नवारो
humbled,विनम्र
está,एस्टा
cabo,काबो
pacino,पचीनो
asians,एशियाइयों
triumphs,जीत
cross-examine,पार से जांच
straight-up,सीधे ऊपर
wait.,इंतज़ार।
gout,गाउट
dubbed,करार दिया
devoid,रहित
compensated,मुआवजा दिया
johnston,जॉनसन
rika,रीका
karel,कैरेल
bombardment,बमबारी
get-together,एक साथ हो जाओ
frightfully,भयंकर रूप से
piero,पिएरो
salvo,उपलक्ष्य
licks,चाटना
overflow,अतिप्रवाह
multiplied,गुणा किया हुआ
attributed,जिम्मेदार ठहराया
spores,बीजाणुओं
orchestrated,करवाया
maybe-,शायद-
slasher,स्लेशर
uncharted,न सुलझा हुआ
pimple,फुंसी
quench,बुझाना
rendering,प्रतिपादन
stubbs,स्टब्स
purcell,परसेल
disks,डिस्क
giver,दाता
hard-core,हार्ड कोर
sunil,सुनील
hayward,हेवर्ड
sm,एस.एम
rapids,उतार
ulterior,गुप्त
yelp,भौंकना
deduct,काटना
confer,प्रदान करना
stockton,स्टॉकटन
khalid,खालिद
fares,किराए
perpetrators,अपराधियों
impure,अशुद्ध
summat,सारांश
oar,चप्पू
keyhole,ताली लगाने का छेद
pertinent,उचित
domingo,डोमिंगो
purring,म्याऊँ
standstill,ठहराव
groupie,गुट
danube,डेन्यूब
interruptions,रुकावट
vroom,वरूम
integral,अभिन्न
femme,फेम
loins,लंगोटी
dar,डार
untold,चुप
wickham,Wickham
progression,प्रगति
maja,माजा
undeniable,निर्विवाद
o2,ओ2
acapulco,अकापुल्को
inadvertently,अनजाने में
alaikum,वालेकुम
inexplicable,अकथनीय
radish,मूली
albright,अलब्राइट
lingo,लिंगौ भाषा
illogical,विसंगत
shindo,शिन्दो
wait-,इंतज़ार-
yosemite,Yosemite
sieg,घेराबंदी
snows,बर्फ
thefts,चोरी
exceedingly,निहायत
herc,हर्क
crushes,कुचल
stint,कार्यकाल
flustered,घबरा
alto,अल्टो
violinist,वायोलिन बाजनेवाला
rishi,षि
bonehead,कपाल
kravitz,क्रेविट्ज
optional,वैकल्पिक
night,रात
w-why,डब्ल्यू क्यों
passwords,पासवर्डों
fontaine,फॉन्टेन
sanctions,प्रतिबंध
staking,जताया
playback,प्लेबैक
lomax,लोमैक्स
spinster,कातनेवाली
fawn,हलके पीले रंग का
vials,शीशियों
spouting,फुहार छोड़ती
osman,उस्मान
melville,मेलविल
refreshed,ताज़ा किया
jessi,जेस्सी
stooges,स्टूजेस
disfigured,विकृत
reefs,भित्तियों
conversing,बातचीत
anubis,Anubis
takers,खरीदार
ronin,रोनिन
intuitive,अंतर्ज्ञान
hippy,हिप्पी
to-do,करने के लिए
scarves,स्कार्फ
albania,अल्बानिया
excalibur,एक्सकैलिबर
xing,xing
dinnertime,रात्रिभोज का समय
harboring,शरण
watanabe,वातानाबे
chas,चास
award-winning,पुरस्कार जीतने
orville,ऑरविल
productivity,उत्पादकता
injecting,इंजेक्शन
cross-country,क्रॉस कंट्री
wouid,wouid
loyalties,वफादारी
unresolved,अनसुलझे
froggy,मेढक का
messin,मेसिन
stub,ठूंठ
teo,टेओ
kao,काओ
derivative,यौगिक
sparing,अल्प
wichita,विचिटा
shayne,शायन
denim,डेनिम
asano,asano
bonsoir,बोन्सोइर
grievances,शिकायतें
bbc.co.uk,bbc.co.uk
undetected,चल पाता
scams,घोटाले
rugs,आसनों
subjective,व्यक्तिपरक
cicero,सिसरौ
converting,परिवर्तित
transformer,ट्रांसफार्मर
noone,किसी को भी नहीं
inventive,आविष्कारशील
eloquent,सुवक्ता
soot,कालिख
amalia,अमालिया
umpire,अंपायर
quicksand,त्वरित रेत
succeeding,सफल
georgian,जॉर्जीयन्
bitterly,कटु
sloth,आलस
contraction,सिकुड़न
fondue,फोंड्यू
physiology,शरीर विज्ञान
britches,ऊपर उठ
removes,निकालता है
longevity,लंबी उम्र
intergalactic,अंतरिक्ष
lupus,एक प्रकार का वृक्ष
sms,एसएमएस
extremists,चरमपंथियों
remi,रेमी
high-level,उच्च स्तर
golfing,गोल्फ
dab,डी ए बी
gaza,गाजा
tapestry,टेपेस्ट्री
lithium,लिथियम
sacrificial,बलि
confetti,कंफ़ेद्दी
experimented,प्रयोग
gurgles,गड़गड़ाहट
debs,डेब्स
typhoid,आंत्र ज्वर
racers,रेस
advert,विज्ञापन
conditioned,वातानुकूलित
myka,मायका
siddharth,सिद्धार्थ
inconceivable,समझ से बाहर
rusted,जंग
gazelle,छोटा सुन्दर बारहसिंघ
cartels,उत्पादक संघ
burdened,बोझ
murky,बदली का
ros,कार्यालयों
sayid,सईद
artemis,अरतिमिस
divinity,देवत्व
prays,प्रार्थना करता है
warranty,गारंटी
ceramic,चीनी मिट्टी
chilean,चिली
just,अभी
harker,हार्कर
canton,केंटन
obese,मोटा
enzyme,एंजाइम
repetition,दुहराव
kosovo,कोसोवो
fοr,के लिए
silencer,रवशामक
bores,तंग
multitude,भीड़
improbable,असंभव
hybrids,संकर
cubans,क्यूबाई
juliana,जूलियाना
scepter,प्रभुत्व
jailer,जलिक
baldrick,Baldrick
manuscripts,पांडुलिपियों
concealing,छुपा
air-conditioning,एयर कंडीशनिंग
bureaucratic,नौकरशाही
branding,ब्रांडिंग
pompeii,पॉम्पी
zoya,जोया
pedigree,वंशावली
halifax,हैलिफ़ैक्स
declares,वाणी
killian,किलन
revolving,परिक्रामी
wexler,वेक्स्लर
trippin,ट्रिपिन
indirectly,परोक्ष रूप से
dragonfly,Dragonfly
contusions,उलझनें
holographic,होलोग्राफिक
catheter,कैथिटर
one-armed,एक बाहू
aimee,एमी
know-it-all,यह सब पता है
dao,डीएओ
fenner,फेनर
augie,ऑगी
friedman,फ्राइडमैन
blowout,बुझाना
beaming,बीम करने
dutchman,हाँलैंड देश के निवासी
testicle,अंडा
stationery,लेखन सामग्री
long-lost,लंबे समय से खो
hitomi,Hitomi
stardust,स्टारडस्ट
dismount,उतरना
scenic,सुंदर
lorelei,Lorelei
bad-ass,बुरा गधा
dill,डिल
carbs,कार्बोहाइड्रेट
scarface,स्कारफेस
puzzling,puzzling
defends,बचाव
practised,अभ्यास
suites,सुइट्स
cranes,क्रेन
masseuse,मालिश करनेवाली
caper,शरारत
boo-boo,बू बू
def,डीईएफ़
marquez,मार्केज़
amit,अमित
sectors,क्षेत्रों
lengthy,लंबा
fortified,दृढ़
thierry,थियरी
dory,डोरि
hewitt,हेविट
chink,चिंक
psychics,मनोविज्ञान
ça,सीए
decorative,सजावटी
karla,कार्ला
geraldine,गेराल्डिन
correspond,अनुरूप
graciously,विनय से
bronco,जंगली घोड़ा
mangy,जर्जर
shipwreck,जहाज़ की तबाही
trustee,ट्रस्टी
bellowing,निम्न
vagabond,आवारा
goofing,मूर्ख बनाना
mind-blowing,दिमाग उड़ा रहा है
forte,प्रधान गुण
absolve,दोषमुक्त करना
eros,एरोस
vomited,उल्टी कर दी
dismal,निराशाजनक
arkady,अर्कडी
telegrams,टेलीग्राम
discs,डिस्क
mor,मोर
buyeo,बुयिओ
aerobics,एरोबिक्स
ut,केन्द्र शासित प्रदेशों
melrose,मेलरोज़
alexx,एलेक्स
wren,रेन
bogey,दलदली
forging,फोर्जिंग
god.,ईश्वर।
hodja,होजा
guesthouse,गेस्ट हाउस
bohannon,बोहनोन
nandini,नंदिनी
helmut,हेल्मुट
regency,राज-प्रतिनिधि का पद
conroy,कोनोरी
lebanese,लेबनान
harlot,रंडी
gauri,गौरी
bashful,संकोची
coached,प्रशिक्षित
rommie,रोमी
vietcong,वियतकॉन्ग
shambles,खंडहर
yoghurt,दही
ll-i,ll-मैं
ya,फिर
olson,ओल्सन
geordie,जिओर्डी
woodward,वुडवर्ड
enron,एनरॉन
demi,डेमी
saito,सैटो
committees,समितियों
debates,बहस
this.,यह।
evacuating,निकासी
striker,स्ट्राइकर
wentworth,वेंटवर्थ
circumcised,खतना
vice-president,उपाध्यक्ष
deva,देवा
brainless,बेवक़ूफ़
inherent,अंतर्निहित
maniacally,पागलों
nuh-uh,nuh-उह
bourne,सीमा
reluctantly,अनिच्छा से
pellets,छर्रों
abstinence,संयम
ieft,अर्थात
trombone,तुरही
boomerang,बुमेरांग
readiness,तत्परता
realms,रियल्म्स
antidepressants,एंटीडिप्रेसन्ट
vibrator,थरथानेवाला
dumbo,DUMBO
astrologer,ज्योतिषी
ghoul,पिशाच
attribute,गुण
sparkly,चमकदार
torah,टोरा
acp,एसीपी
magnifying,आवर्धक
coding,कोडन
latimer,latimer
hatches,hatches
rump,दुम
pampered,लाड़ प्यार
noona,नूना
stinker,बदमाश
remus,रेमस
greener,ग्रीनर
ives,ives
mittens,दस्ताने
pessimistic,निराशावादी
angelic,दिव्य
midsummer,गरमी का मध्य
snowflake,हिमपात का एक खंड
wrecks,जहाजों
quartz,क्वार्ट्ज
emt,ईएमटी
kanan,कानन
humpty,हम्प्टी
caruso,CARUSO
stalingrad,स्टेलिनग्राद
willows,विलो
barged,घुसे
wishful,इच्छाधारी
concur,सहमत
stupidly,मूर्खतापूर्वक
narayan,नारायण
temptations,टेम्पटेशन
enforced,से लागू
dougal,डगल
alcatraz,अलकतरा
playwright,नाटककार
striving,प्रयास
grazed,चरते
negligent,लापरवाह
pulsing,स्पंदन
psychopaths,मनोरोगी
benches,बेंच
mesh,जाल
iggy,iggy
kee,की
hymns,भजन
treasured,ग्रहण
musk,कस्तूरी
gould,गोल्ड
musket,बंदूक
nukes,परमाणु
geologists,भूवैज्ञानिकों
renoir,Renoir
corabeth,कोराबेथ
rem,रेम
intermission,विराम
grits,जई का आटा
redirect,पुन: निर्देशित करें
gaulle,गॉल
zara,ज़रा
disrupting,खलल न डालें
sable,सेबल
svetlana,स्वेतलाना
connelly,कोनेली
woes,संकट
armoured,बख़्तरबंद
suarez,सुआरेज़
lackey,नौकर
erupt,फूटना
stank,बदबू
shao,शाओ
sanction,प्रतिबंध
hinder,बाधा पहुंचाना
demoted,अवनत
surfers,सर्फर
blackbird,ब्लेकबेर्द
eveything,सब कुछ
yeah-,हाँ-
adjourn,स्थगित
bile,पित्त
sunken,धँसा
sprain,मोच
misaki,मिसाकी
commendable,प्रशंसनीय
upfront,अग्रिम
jolie,जोली
maroon,लाल रंग
possessing,जिनके पास
six-year-old,छह साल की उम्र
prematurely,समय से पहले ही
tok,टोक
manfred,मैनफ्रेड
uganda,युगांडा
madras,मद्रास
cleanliness,स्वच्छता
stephan,स्टीफ़न
swayed,बह
high-five,शाबासी देने के लिए हवा में ताली मारना
antichrist,ईसा मसीह का शत्रु
skim,स्किम
irishman,आयलैंडवासी
doofus,डूफस
costas,कोस्टास
pounded,बढ़ा
sedate,गंभीर
hurricanes,तूफान
oink,ओइंक
moreau,मोर्यू
zi,जि
foolishly,मूर्खता से
radicals,कण
momentous,सब से अहम
une,उने
sheena,शीना
disengage,छुड़ाना
landfill,लैंडफिल
jolene,जोलेन
disturbances,गड़बड़ी
kilometer,किलोमीटर
rigs,रिसाव
faulkner,फॉल्कनर
high-ranking,महत्त्वपूर्ण पद पर होनेवाला
lula,लूला
inbound,भीतर का
stetson,स्टेटसन
partake,हिस्सा लेना
paralysed,झोले के मारे
pinot,Pinot
romulan,रोमुलान
one-sided,एकतरफ़ा
shakin,शेकिन
v8,वी 8
emi,ईएमआई
katerina,कातेरिना
musicals,संगीत
subdued,मातहत
40th,40 वीं
weeps,रोता है
commies,कमिज़
indisposed,बीमार
fro,इधर-उधर
pyo,प्यो
beagle,गुप्तचर
plumb,साहुल
culprits,अपराधियों
momentary,क्षणिक
adrianna,एड्रियाना
fawlty,दोषपूर्ण
sanitary,सेनेटरी
ria,रिया
gretel,ग्रेटेल
skyler,स्काईलर
constitutes,का गठन
installments,किश्तों
lecter,लेक्टर
unsuspecting,पहले से न सोचा
d-day,डी-डे
asphyxiation,asphyxiation
gita,गीता
consented,सहमति दे दी है
swimmers,तैराकों
voter,मतदाता
robs,आर ओ बी
lolita,लोलिता
fresno,फ्रेस्नो
xbox,xbox
studs,स्टड
peri,पेरी
shudder,कंपकंपी
benoit,बेनोइट
taker,लेने वाला
dowager,बेवा
heartburn,पेट में जलन
mccabe,मैककेबे
imaginations,कल्पना
modelling,मॉडलिंग
dopamine,डोपामाइन
grr,ग्र्र
severity,गंभीरता
abdullah,अब्दुल्ला
leaflets,पत्रक
evilly,अशुभतः
extensions,एक्सटेंशन
glimmer,प्रभा
arlington,आर्लिंग्टन
vex,तंग करना
khrushchev,ख्रुश्चेव
twerp,पाजी
rajiv,राजीव
resonance,गूंज
garnet,गहरा लाल रंग
bavaria,बवेरिया
sasaki,सासाकी
mcgill,मैकगिल
mer,मेर
expire,समय सीमा समाप्त
presenter,प्रस्तुतकर्ता
life-threatening,जीवन के लिए खतरा
koenig,कोएनिग
hess,हेस
sas,एसएएस
beryl,फीरोज़ा
19-year-old,19 वर्षीय
lyndon,लिंडन
ticker,लंगर
entrees,स्नैक्स
nr,एन.आर.
lindy,लिंडी
miao,मियाओ
your,आपका
connolly,कोनोली
signorina,साइनोरिना
duress,अवरोध
bacterial,जीवाणु
groundbreaking,अभूतपूर्व
sabotaging,तोड़-फोड़ करना
networking,नेटवर्किंग
jocks,जॉक्स
crazies,पागलों
locusts,टिड्डियों
lodgings,आवास
jean-luc,जीन ल्यूक
dozed,दर्जन भर
bitty,छोटे
kepler,केपलर
frenchy,फ्रांसीसी
sunbae,sunbae
milt,पिलाई
uranus,यूरेनस
matador,matador
daktari,डॉक्टरी
bala,बाला
wh-,क-
unfriendly,अमित्र
checklist,जांच सूची
niels,नील्स
imports,आयात
devilish,शैतानी
octavia,ऑक्टेविया
britannia,ब्रिटानिया
cappie,कैपी
hospitable,मेहमाननवाज़
staples,स्टेपल्स
sociable,मिलनसार
frederik,फ्रेडरिक
bikinis,बिकनी
bazooka,bazooka
weirdly,निराले ढंग से
transylvania,ट्रांसिल्वेनिया
paintball,पेंटबॉल
alcoholism,शराब
hold-up,लूट
droppings,गोबर
flier,उड़ाका
scorching,उष्णता
flexibility,FLEXIBILITY
minotaur,Minotaur
narcissistic,आत्ममुग्ध
matinee,तीसरे पहर के नाटक का गायन
absolution,मुक्ति
arman,अरमान
splashed,छिड़क
floral,फूलों
peralta,पेराल्टा
toads,टोड
electoral,चुनावी
violins,वायलिन
compliance,अनुपालन
pathway,मार्ग
nielsen,नीलसन
p.r.,पी.आर.
juries,निर्णायक मंडल
unconditionally,बिना शर्त
pacemaker,पेसमेकर
in-between,बीच में
cuss,गाली
persistence,अटलता
disobedience,आज्ञा का उल्लंघन
interestingly,सुहावना होते हुए
franck,फ़्रैंक
revolves,घूमता
icebox,हिमीकर
birkoff,बिरकॉफ़
transports,परिवहन
mistrial,मिस्ट्रियल
disclosed,खुलासा
dalai,दलाई
remand,जेल वापसी
welding,वेल्डिंग
fruitful,उपयोगी
ergo,फलस्वरूप
fodder,चारा
disarmed,निरस्त्र
adolescence,किशोरावस्था
jugs,कटोरे
examinations,परीक्षा
rayburn,रेबर्न
puree,प्यूरी
converse,CONVERSE
uttered,बोला
graders,कक्षा के छात्रों
trustees,न्यासियों
lorne,लोरने
